DM Sigma Time Sample Downfact
0.10 8.98 113.691024 1736372 6
0.10 7.07 113.701304 1736529 3
0.10 5.98 113.71178 1736689 4
0.10 10.44 113.721994 1736845 6
0.10 9.77 113.73247 1737005 9
0.10 5.98 113.743274 1737170 6
0.10 8.37 113.775357 1737660 4
0.10 8.79 113.786161 1737825 4
0.10 5.97 113.797357 1737996 14
0.10 6.22 113.808488 1738166 6
0.10 6.96 113.819423 1738333 9
0.10 10.67 113.830946 1738509 4
0.10 7.22 113.853601 1738855 9
0.10 6.08 113.86519 1739032 4
0.10 5.16 113.877107 1739214 14
0.10 10.08 113.888827 1739393 14
0.10 10.96 113.900548 1739572 14
0.10 5.30 113.923923 1739929 6
0.10 7.90 113.94756 1740290 14
0.10 5.09 113.970607 1740642 4
0.10 7.35 114.004851 1741165 9
0.10 9.14 114.01631 1741340 9
0.10 7.05 114.03903 1741687 6
0.10 10.42 114.061226 1742026 9
0.10 7.66 114.072488 1742198 14
0.10 5.88 114.083423 1742365 6
0.10 6.94 114.105685 1742705 9
0.10 10.66 114.11675 1742874 9
0.10 7.76 114.128208 1743049 6
0.10 6.14 114.139077 1743215 4
0.10 10.87 114.150339 1743387 14
0.10 5.41 114.161798 1743562 4
0.10 7.98 114.172798 1743730 9
0.10 6.90 114.184125 1743903 9
0.10 7.46 114.195518 1744077 9
0.10 6.92 114.218435 1744427 14
0.10 9.84 114.229958 1744603 9
0.10 5.56 114.230286 1744608 9
0.10 7.65 114.241482 1744779 9
0.10 8.27 114.253202 1744958 6
0.10 6.16 114.26453 1745131 6
0.10 9.23 114.27625 1745310 6
0.10 9.26 114.287774 1745486 9
0.10 12.13 114.299363 1745663 9
0.10 9.73 114.310887 1745839 6
0.10 9.10 114.322149 1746011 6
0.10 6.64 114.333673 1746187 9
0.10 10.62 114.345131 1746362 14
0.10 8.42 114.378982 1746879 9
0.10 7.86 114.390113 1747049 9
0.10 7.48 114.401375 1747221 9
0.10 8.50 114.412637 1747393 9
0.10 5.51 114.423899 1747565 14
0.10 10.37 114.44603 1747903 6
0.10 5.99 114.457619 1748080 6
0.10 6.79 114.468161 1748241 4
0.10 8.81 114.479423 1748413 6
0.10 9.04 114.490815 1748587 14
0.10 5.80 114.491339 1748595 14
0.10 8.13 114.502012 1748758 6
0.10 9.62 114.524601 1749103 6
0.10 10.19 114.535601 1749271 6
0.10 10.42 114.570107 1749798 6
0.10 6.50 114.581565 1749973 9
0.10 7.36 114.593482 1750155 6
0.10 9.26 114.627857 1750680 14
0.10 11.40 114.63925 1750854 9
0.10 10.26 114.650774 1751030 9
0.10 7.10 114.651101 1751035 6
0.10 11.00 114.662429 1751208 9
0.10 5.19 114.673821 1751382 9
0.10 7.51 114.696738 1751732 14
0.10 7.14 114.719393 1752078 9
0.10 8.24 114.730524 1752248 9
0.10 7.56 114.741851 1752421 14
0.10 10.61 114.752982 1752591 9
0.10 5.92 114.75331 1752596 9
0.10 5.83 114.764244 1752763 14
0.10 9.47 114.775571 1752936 6
0.10 6.04 114.786506 1753103 6
0.10 9.94 114.797506 1753271 9
0.10 8.49 114.808702 1753442 9
0.10 8.86 114.819833 1753612 9
0.10 7.23 114.830833 1753780 6
0.10 8.00 114.853423 1754125 9
0.10 8.73 114.864619 1754296 4
0.10 9.47 114.875881 1754468 9
0.10 7.34 114.909929 1754988 9
0.10 5.57 114.910256 1754993 9
0.10 8.25 114.921387 1755163 9
0.10 5.65 114.932845 1755338 14
0.10 7.15 114.944173 1755511 9
0.10 5.14 114.955696 1755687 4
0.10 6.46 114.98981 1756208 6
0.10 5.29 115.001464 1756386 3
0.10 6.24 115.024054 1756731 9
0.10 5.73 115.035315 1756903 4
0.10 6.57 115.046905 1757080 9
0.10 6.99 115.058101 1757251 4
0.10 6.99 115.080756 1757597 9
0.10 6.98 115.092149 1757771 6
0.10 6.29 115.103214 1757940 9
0.10 5.62 115.114935 1758119 4
0.10 8.84 115.125869 1758286 9
0.10 7.58 115.137131 1758458 9
0.10 6.47 115.159655 1758802 4
0.10 6.10 115.18231 1759148 9
0.10 9.37 115.193571 1759320 9
0.10 5.21 115.204637 1759489 3
0.10 5.71 115.239077 1760015 9
0.10 7.71 115.261929 1760364 6
0.10 7.71 115.273518 1760541 9
0.10 7.34 115.30822 1761071 9
0.10 8.23 115.319744 1761247 9
0.10 9.55 115.331399 1761425 9
0.10 6.19 115.331726 1761430 9
0.10 7.01 115.342988 1761602 6
0.10 9.11 115.354446 1761777 9
0.10 6.20 115.354774 1761782 9
0.10 11.33 115.389149 1762307 9
0.10 8.75 115.412065 1762657 6
0.10 8.16 115.423524 1762832 6
0.10 7.20 115.434917 1763006 4
0.10 9.05 115.457899 1763357 14
0.10 8.55 115.469292 1763531 14
0.10 6.62 115.480423 1763701 6
0.10 5.24 115.491685 1763873 9
0.10 11.02 115.525994 1764397 14
0.10 9.84 115.537256 1764569 9
0.10 6.72 115.548649 1764743 9
0.10 10.21 115.560107 1764918 9
0.10 11.40 115.582958 1765267 9
0.10 6.42 115.594482 1765443 9
0.10 7.03 115.629381 1765976 9
0.10 8.19 115.641167 1766156 14
0.10 9.90 115.652887 1766335 14
0.10 9.31 115.664542 1766513 9
0.10 7.24 115.676131 1766690 9
0.10 11.85 115.688179 1766874 9
0.10 6.36 115.699637 1767049 9
0.10 5.87 115.735321 1767594 2
0.10 8.83 115.746649 1767767 14
0.10 6.90 115.758369 1767946 14
0.10 5.33 115.769893 1768122 6
0.10 6.58 115.782006 1768307 9
0.10 11.35 115.793661 1768485 9
0.10 11.17 115.841 1769208 9
0.10 10.97 115.864571 1769568 9
0.10 7.42 115.888339 1769931 6
0.10 7.04 115.90019 1770112 6
0.10 6.92 115.912042 1770293 9
0.10 12.02 115.971363 1771199 9
0.10 7.49 115.97169 1771204 9
0.10 7.32 115.983214 1771380 9
0.10 8.06 115.994935 1771559 9
0.10 5.12 115.995262 1771564 9
0.10 7.25 116.018768 1771923 14
0.10 8.02 116.030554 1772103 9
0.10 8.31 116.042667 1772288 14
0.10 8.20 116.054387 1772467 9
0.10 7.05 116.066369 1772650 14
0.10 10.37 116.114167 1773380 9
0.10 7.46 116.114494 1773385 9
0.10 9.12 116.150375 1773933 9
0.10 12.78 116.18678 1774489 14
0.10 6.55 116.198762 1774672 9
0.10 8.05 116.222857 1775040 9
0.10 6.73 116.235167 1775228 9
0.10 10.26 116.247083 1775410 6
0.10 10.13 116.259065 1775593 6
0.10 8.11 116.271179 1775778 9
0.10 7.74 116.307452 1776332 4
0.10 6.21 116.319435 1776515 9
0.10 10.44 116.331613 1776701 9
0.10 6.82 116.343661 1776885 6
0.10 6.92 116.355774 1777070 9
0.10 5.87 116.39244 1777630 14
0.10 8.33 116.404619 1777816 9
0.10 10.41 116.466101 1778755 9
0.10 10.25 116.478411 1778943 9
0.10 5.86 116.478738 1778948 9
0.10 6.47 116.490851 1779133 14
0.10 5.16 116.515536 1779510 20
0.10 12.55 116.527976 1779700 14
0.10 6.06 116.540155 1779886 6
0.10 10.25 116.552464 1780074 9
0.10 6.08 116.552792 1780079 9
0.10 5.69 116.564774 1780262 9
0.10 5.32 116.575708 1780429 70
0.10 11.19 116.589262 1780636 9
0.10 8.49 116.60144 1780822 9
0.10 8.11 116.638107 1781382 9
0.10 7.46 116.662333 1781752 9
0.10 5.41 116.662661 1781757 9
0.10 9.93 116.686821 1782126 9
0.10 10.69 116.699 1782312 9
0.10 7.10 116.699327 1782317 9
0.10 5.19 116.711244 1782499 6
0.10 7.25 116.723488 1782686 9
0.10 6.10 116.735798 1782874 9
0.10 6.70 116.760679 1783254 4
0.10 8.73 116.772726 1783438 9
0.10 8.93 116.785298 1783630 14
0.10 6.79 116.797476 1783816 9
0.10 6.68 116.809917 1784006 9
0.10 10.84 116.847369 1784578 9
0.10 6.74 116.872512 1784962 9
0.10 6.98 116.885149 1785155 9
0.10 10.60 116.910357 1785540 9
0.10 9.05 116.922863 1785731 9
0.10 5.46 116.92319 1785736 9
0.10 6.90 116.96097 1786313 9
0.10 7.95 116.986637 1786705 14
0.10 9.65 116.999274 1786898 9
0.10 5.36 117.011976 1787092 14
0.10 5.09 117.024155 1787278 45
0.10 6.35 117.088518 1788261 9
0.10 6.62 117.101155 1788454 9
0.10 5.23 117.190923 1789825 9
0.10 8.34 117.204214 1790028 14
0.10 5.37 117.217048 1790224 9
0.10 5.01 117.230077 1790423 9
0.10 5.96 117.243107 1790622 9
0.10 6.15 117.282327 1791221 9
0.10 9.30 117.308321 1791618 14
0.10 7.96 117.321286 1791816 9
0.10 5.59 117.347214 1792212 9
0.10 6.08 117.360179 1792410 9
0.10 6.57 117.373143 1792608 20
0.10 5.81 117.399202 1793006 9
0.10 5.23 117.425327 1793405 9
0.10 7.38 117.438357 1793604 6
0.10 6.06 117.451452 1793804 6
0.10 7.49 117.46494 1794010 14
0.10 5.93 117.491393 1794414 14
0.10 6.74 117.518042 1794821 9
0.10 5.39 117.518369 1794826 9
0.10 5.56 117.558048 1795432 9
0.10 6.22 117.571667 1795640 14
0.10 13.68 117.598315 1796047 9
0.10 6.40 117.598643 1796052 9
0.10 6.37 117.625161 1796457 9
0.10 5.63 117.67872 1797275 4
0.10 5.70 117.705173 1797679 9
0.10 9.05 117.758929 1798500 9
0.10 6.38 117.772417 1798706 20
0.10 5.57 117.799524 1799120 9
0.10 6.47 117.840446 1799745 9
0.10 6.82 117.923863 1801019 70
0.10 6.42 117.973101 1801771 100
0.10 7.65 118.019786 1802484 100
0.10 6.01 118.070923 1803265 150
0.10 5.90 118.11453 1803931 100
0.10 8.09 118.159643 1804620 100
0.10 7.88 118.207506 1805351 45
0.10 7.45 118.256351 1806097 70
0.10 7.87 118.309321 1806906 100
0.10 8.43 118.358232 1807653 70
0.10 5.67 118.410351 1808449 150
0.10 6.48 118.461423 1809229 100
0.10 6.00 118.512625 1810011 150
0.10 7.75 118.559244 1810723 150
0.10 5.97 118.613786 1811556 100
0.10 7.06 118.658637 1812241 70
0.10 9.93 118.70794 1812994 100
0.10 5.93 118.711476 1813048 100
0.10 10.39 118.754429 1813704 100
0.10 6.89 118.757768 1813755 100
0.10 7.73 118.801179 1814418 100
0.10 6.24 118.872417 1815506 70
0.10 5.96 118.893042 1815821 70
0.10 5.76 119.321714 1822368 70
0.10 5.40 122.152577 1865603 20
0.10 8.04 122.803083 1875538 100
0.10 5.82 122.850815 1876267 100
0.10 5.47 122.943006 1877675 100
0.10 7.86 122.988905 1878376 100
0.10 5.01 123.002327 1878581 70
0.10 7.90 123.036964 1879110 70
0.10 6.09 123.083125 1879815 150
0.10 10.77 123.182976 1881340 150
0.10 5.89 123.234048 1882120 100
0.10 5.74 123.28453 1882891 100
0.10 8.60 123.33547 1883669 100
0.10 9.96 123.386476 1884448 100
0.10 9.10 123.436107 1885206 70
0.10 8.04 123.486917 1885982 70
0.10 8.19 123.53478 1886713 100
0.10 6.20 123.582315 1887439 100
0.10 5.64 123.675292 1888859 100
0.10 7.18 123.720536 1889550 70
0.10 7.63 123.769119 1890292 100
0.10 6.49 124.05178 1894609 70
0.10 5.34 124.80253 1906075 9
0.10 5.66 124.999679 1909086 100
0.10 5.12 125.167625 1911651 100
0.10 5.04 125.546863 1917443 150
0.10 5.89 125.766143 1920792 70
0.10 5.09 126.733881 1935572 70
0.10 6.21 128.032012 1955398 30
0.10 8.39 128.081119 1956148 100
0.10 5.45 128.130423 1956901 45
0.10 8.22 128.177304 1957617 150
0.10 6.24 128.221238 1958288 150
0.10 5.37 128.26681 1958984 45
0.10 10.20 128.315327 1959725 100
0.10 8.30 128.364631 1960478 100
0.10 8.32 128.415375 1961253 100
0.10 5.71 128.46553 1962019 100
0.10 7.21 128.516208 1962793 100
0.10 8.24 128.568 1963584 150
0.10 7.57 128.616518 1964325 100
0.10 6.09 128.666411 1965087 45
0.10 6.58 128.720232 1965909 100
0.10 9.89 128.764232 1966581 45
0.10 6.85 128.765935 1966607 45
0.10 8.91 128.813994 1967341 100
0.10 6.08 128.860417 1968050 100
0.10 5.92 128.90769 1968772 100
0.10 6.08 128.953 1969464 70
0.10 6.21 129.000667 1970192 100
0.10 5.20 129.930298 1984390 70
0.10 5.00 131.080321 2001954 9
0.10 6.36 131.11247 2002445 45
0.10 5.03 131.263196 2004747 30
0.10 5.51 131.894714 2014392 100
0.10 5.08 132.478762 2023312 100
0.10 5.66 132.678857 2026368 100
0.10 7.73 132.929958 2030203 100
0.10 6.40 132.977821 2030934 100
0.10 5.51 132.994256 2031185 30
0.10 5.65 133.024899 2031653 100
0.10 7.74 133.07047 2032349 100
0.10 5.61 133.116631 2033054 100
0.10 8.35 133.162202 2033750 45
0.10 7.22 133.21275 2034522 100
0.10 7.52 133.258911 2035227 70
0.10 5.17 133.261268 2035263 70
0.10 6.90 133.310833 2036020 100
0.10 8.00 133.361577 2036795 100
0.10 7.85 133.412321 2037570 100
0.10 9.50 133.464179 2038362 100
0.10 6.52 133.513024 2039108 100
0.10 6.81 133.613006 2040635 70
0.10 10.27 133.662113 2041385 100
0.10 5.35 133.665649 2041439 100
0.10 7.91 133.709256 2042105 100
0.10 6.71 133.756857 2042832 100
0.10 7.34 133.800792 2043503 45
0.10 5.05 133.802298 2043526 45
0.10 6.92 133.848458 2044231 100
0.10 6.32 133.89547 2044949 70
0.10 5.10 134.460006 2053571 70
0.10 5.22 134.660101 2056627 150
0.10 5.10 135.526089 2069853 30
0.10 5.40 135.959804 2076477 100
0.10 5.21 136.143988 2079290 70
0.10 5.44 136.341726 2082310 100
0.10 5.01 136.726202 2088182 20
0.10 5.17 136.986274 2092154 2
0.10 5.74 137.859006 2105483 70
0.10 6.48 138.161702 2110106 100
0.10 9.25 138.208321 2110818 100
0.10 8.21 138.25494 2111530 150
0.10 5.00 138.30156 2112242 100
0.10 5.13 138.351911 2113011 45
0.10 5.88 138.395387 2113675 150
0.10 9.16 138.442595 2114396 100
0.10 7.28 138.489149 2115107 100
0.10 5.73 138.54022 2115887 100
0.10 7.37 138.59175 2116674 100
0.10 9.25 138.641905 2117440 100
0.10 7.30 138.692845 2118218 100
0.10 8.70 138.743 2118984 100
0.10 8.61 138.79381 2119760 100
0.10 8.48 138.843833 2120524 70
0.10 5.66 138.84619 2120560 70
0.10 9.95 138.891762 2121256 100
0.10 6.18 138.939363 2121983 100
0.10 6.77 138.987161 2122713 150
0.10 7.93 139.032143 2123400 150
0.10 7.66 139.12656 2124842 100
0.10 5.40 139.357756 2128373 70
0.10 6.61 140.906792 2152031 70
0.10 5.87 141.159137 2155885 45
0.10 7.26 141.274244 2157643 70
0.10 6.46 141.456464 2160426 100
0.10 5.13 142.124452 2170628 70
0.10 5.43 142.457202 2175710 70
0.10 5.68 142.707518 2179533 150
0.10 5.19 143.115958 2185771 45
0.10 6.11 143.164607 2186514 100
0.10 7.36 143.209262 2187196 150
0.10 6.16 143.257125 2187927 70
0.10 8.38 143.305054 2188659 100
0.10 5.23 143.308393 2188710 100
0.10 7.06 143.354488 2189414 100
0.10 6.71 143.400714 2190120 70
0.10 6.42 143.449756 2190869 45
0.10 8.16 143.503708 2191693 150
0.10 7.46 143.554125 2192463 100
0.10 7.46 143.604411 2193231 100
0.10 10.76 143.655548 2194012 70
0.10 9.35 143.70603 2194783 100
0.10 9.22 143.756774 2195558 100
0.10 9.10 143.803262 2196268 100
0.10 6.09 143.851321 2197002 150
0.10 5.91 143.897024 2197700 100
0.10 7.10 143.942792 2198399 70
0.10 7.87 143.990262 2199124 70
0.10 5.07 143.992619 2199160 70
0.10 8.07 144.037405 2199844 100
0.10 5.15 144.206988 2202434 100
0.10 5.05 144.406363 2205479 70
0.10 5.31 145.205173 2217679 45
0.10 5.54 145.385298 2220430 150
0.10 5.78 145.607262 2223820 30
0.10 5.81 145.639149 2224307 100
0.10 5.58 146.889744 2243407 70
0.10 5.00 146.90978 2243713 3
0.10 5.09 146.91528 2243797 1
0.10 5.59 147.26656 2249162 6
0.10 5.12 147.639446 2254857 20
0.10 5.35 147.872607 2258418 70
0.10 5.23 148.0215 2260692 45
0.10 5.46 148.122923 2262241 4
0.10 6.84 148.302327 2264981 150
0.10 8.24 148.349274 2265698 150
0.10 7.21 148.394387 2266387 100
0.10 7.69 148.439827 2267081 70
0.10 9.11 148.487952 2267816 100
0.10 7.60 148.536143 2268552 100
0.10 8.77 148.585381 2269304 150
0.10 5.31 148.631411 2270007 100
0.10 7.90 148.686738 2270852 150
0.10 9.84 148.738137 2271637 100
0.10 10.08 148.78947 2272421 100
0.10 8.32 148.838512 2273170 70
0.10 8.13 148.88919 2273944 70
0.10 6.38 148.891548 2273980 70
0.10 7.87 148.940786 2274732 100
0.10 6.73 148.991071 2275500 100
0.10 10.25 149.038673 2276227 100
0.10 7.05 149.086994 2276965 150
0.10 7.40 149.134268 2277687 150
0.10 5.68 149.179446 2278377 100
0.10 6.52 149.223577 2279051 100
0.10 7.77 149.272226 2279794 100
0.10 5.19 149.90453 2289451 70
0.10 5.12 150.771958 2302699 100
0.10 6.25 152.072315 2322559 45
0.10 5.90 152.187095 2324312 150
0.10 5.35 152.222387 2324851 45
0.10 5.95 152.423202 2327918 100
0.10 5.22 152.588988 2330450 30
0.10 5.78 153.390417 2342690 70
0.10 9.41 153.438804 2343429 100
0.10 5.58 153.485815 2344147 100
0.10 6.11 153.533286 2344872 100
0.10 6.85 153.579381 2345576 100
0.10 7.23 153.626196 2346291 100
0.10 6.42 153.674321 2347026 150
0.10 8.32 153.723625 2347779 100
0.10 5.73 153.726964 2347830 100
0.10 7.57 153.774173 2348551 100
0.10 10.28 153.824262 2349316 70
0.10 6.03 153.826619 2349352 70
0.10 7.09 153.87422 2350079 70
0.10 6.13 153.926667 2350880 100
0.10 6.26 153.976494 2351641 70
0.10 5.52 154.126238 2353928 70
0.10 7.96 154.172792 2354639 100
0.10 9.49 154.221571 2355384 100
0.10 6.43 154.224911 2355435 100
0.10 6.51 154.268321 2356098 100
0.10 6.26 154.315137 2356813 100
0.10 5.04 154.341196 2357211 14
0.10 5.16 154.362149 2357531 100
0.10 5.07 154.40569 2358196 45
0.10 5.72 154.889298 2365582 70
0.10 5.47 155.790185 2379341 45
0.10 5.38 155.991786 2382420 45
0.10 5.08 156.727935 2393663 4
0.10 5.46 157.726185 2408909 70
0.10 5.36 158.242071 2416788 100
0.10 7.28 158.625893 2422650 70
0.10 8.02 158.674214 2423388 100
0.10 5.95 158.719065 2424073 45
0.10 6.28 158.7685 2424828 100
0.10 6.00 158.814595 2425532 100
0.10 8.24 158.862393 2426262 150
0.10 6.19 158.91019 2426992 45
0.10 8.40 158.958905 2427736 100
0.10 9.19 159.008274 2428490 100
0.10 6.27 159.011613 2428541 100
0.10 6.01 159.064387 2429347 100
0.10 5.96 159.114542 2430113 150
0.10 5.10 159.166202 2430902 100
0.10 5.83 159.318173 2433223 100
0.10 5.89 159.365185 2433941 100
0.10 8.33 159.412065 2434657 100
0.10 8.20 159.459012 2435374 100
0.10 6.22 159.507268 2436111 100
0.10 6.65 159.599655 2437522 100
0.10 5.48 159.793595 2440484 70
0.10 5.45 159.860905 2441512 70
0.10 5.30 160.4405 2450364 150
0.10 5.31 160.493143 2451168 45
0.10 6.13 162.544381 2482496 100
0.10 5.79 162.863839 2487375 100
0.10 5.06 163.34653 2494747 100
0.10 5.05 163.412595 2495756 9
0.10 7.71 163.471982 2496663 100
0.10 7.20 163.563518 2498061 30
0.10 5.27 163.564631 2498078 30
0.10 8.29 163.61269 2498812 100
0.10 7.57 163.659506 2499527 100
0.10 7.41 163.705929 2500236 100
0.10 5.95 163.779982 2501367 70
0.10 6.61 163.801655 2501698 150
0.10 8.40 163.85469 2502508 100
0.10 5.74 163.9055 2503284 100
0.10 5.99 163.956506 2504063 100
0.10 6.74 164.008625 2504859 150
0.10 6.39 164.057929 2505612 100
0.10 8.80 164.10828 2506381 150
0.10 6.59 164.154899 2507093 45
0.10 5.08 164.201387 2507803 70
0.10 7.70 164.247482 2508507 45
0.10 10.39 164.296065 2509249 100
0.10 6.90 164.343863 2509979 100
0.10 9.33 164.389762 2510680 100
0.10 6.43 164.413923 2511049 70
0.10 5.12 164.497274 2512322 30
0.10 5.19 165.178095 2522720 45
0.10 5.18 165.497292 2527595 20
0.10 5.04 165.679381 2530376 150
0.10 5.28 165.747345 2531414 70
0.10 5.12 166.482054 2542635 70
0.10 5.32 167.265214 2554596 70
0.10 5.98 167.63869 2560300 2
0.10 5.57 168.09925 2567334 45
0.10 5.67 168.21619 2569120 45
0.10 5.38 168.65056 2575754 30
0.10 7.39 168.699274 2576498 100
0.10 7.97 168.747792 2577239 100
0.10 7.57 168.839458 2578639 150
0.10 7.66 168.885488 2579342 45
0.10 6.71 168.934726 2580094 70
0.10 10.57 168.983375 2580837 100
0.10 8.82 169.033268 2581599 70
0.10 5.98 169.035625 2581635 70
0.10 7.32 169.083488 2582366 70
0.10 5.20 169.086042 2582405 70
0.10 8.45 169.134363 2583143 70
0.10 5.56 169.136851 2583181 70
0.10 7.45 169.186089 2583933 100
0.10 7.31 169.237161 2584713 100
0.10 6.96 169.287381 2585480 100
0.10 6.50 169.340351 2586289 100
0.10 7.71 169.387101 2587003 100
0.10 7.54 169.433851 2587717 100
0.10 9.23 169.480929 2588436 100
0.10 5.34 169.484333 2588488 100
0.10 5.11 169.529512 2589178 100
0.10 6.41 169.621375 2590581 100
0.10 6.49 170.184274 2599178 20
0.10 5.35 170.48481 2603768 70
0.10 5.27 170.500524 2604008 20
0.10 5.25 170.885131 2609882 70
0.10 5.02 170.969726 2611174 2
0.10 5.59 171.351256 2617001 70
0.10 5.57 171.601899 2620829 70
0.10 5.11 171.78556 2623634 30
0.10 5.54 172.50331 2634596 70
0.10 5.74 173.729155 2653318 70
0.10 7.38 173.775577 2654027 150
0.10 7.42 173.82272 2654747 100
0.10 8.84 173.872024 2655500 100
0.10 7.60 173.918119 2656204 100
0.10 8.78 174.012929 2657652 70
0.10 5.05 174.015286 2657688 70
0.10 6.63 174.05994 2658370 150
0.10 7.38 174.114613 2659205 150
0.10 6.14 174.166143 2659992 100
0.10 8.46 174.216363 2660759 100
0.10 7.41 174.267827 2661545 100
0.10 8.81 174.319292 2662331 100
0.10 5.67 174.369446 2663097 100
0.10 8.04 174.419536 2663862 100
0.10 6.70 174.466351 2664577 100
0.10 7.22 174.513101 2665291 100
0.10 6.26 174.558411 2665983 45
0.10 6.79 174.605226 2666698 45
0.10 7.83 174.654071 2667444 100
0.10 7.58 174.701673 2668171 100
0.10 5.13 175.104613 2674325 14
0.10 5.37 175.828714 2685384 14
0.10 6.01 176.230476 2691520 14
0.10 5.13 176.755726 2699542 70
0.10 5.29 176.981554 2702991 9
0.10 5.76 177.00722 2703383 20
0.10 5.91 177.742452 2714612 70
0.10 7.07 178.209232 2721741 20
0.10 5.04 178.224095 2721968 45
0.10 5.60 178.24197 2722241 70
0.10 5.04 178.606345 2727806 100
0.10 6.28 178.963583 2733262 100
0.10 5.75 179.010268 2733975 100
0.10 6.88 179.058262 2734708 100
0.10 10.51 179.105077 2735423 100
0.10 5.30 179.108417 2735474 100
0.10 6.00 179.196875 2736825 70
0.10 8.06 179.243821 2737542 45
0.10 5.67 179.245327 2737565 45
0.10 8.90 179.292077 2738279 100
0.10 5.13 179.34125 2739030 100
0.10 6.26 179.360696 2739327 6
0.10 7.32 179.391405 2739796 45
0.10 5.01 179.392911 2739819 45
0.10 7.46 179.442542 2740577 70
0.10 11.14 179.494988 2741378 100
0.10 5.68 179.498327 2741429 100
0.10 7.95 179.544488 2742134 100
0.10 7.02 179.645845 2743682 70
0.10 10.63 179.694036 2744418 100
0.10 7.60 179.740982 2745135 100
0.10 6.86 179.7895 2745876 150
0.10 6.71 179.83481 2746568 100
0.10 6.31 179.882869 2747302 100
0.10 8.57 179.927393 2747982 70
0.10 6.42 180.297006 2753627 9
0.10 5.58 180.544833 2757412 14
0.10 5.75 180.824482 2761683 6
0.10 5.01 180.961655 2763778 20
0.10 5.15 181.039506 2764967 3
0.10 6.29 181.248179 2768154 14
0.10 5.71 181.304815 2769019 9
0.10 5.32 181.377429 2770128 70
0.10 5.23 181.506679 2772102 20
0.10 5.28 181.524881 2772380 14
0.10 8.02 181.57844 2773198 14
0.10 7.69 181.59625 2773470 14
0.10 5.76 181.631673 2774011 9
0.10 5.93 181.684774 2774822 6
0.10 7.49 181.702321 2775090 9
0.10 5.25 181.794054 2776491 30
0.10 7.81 181.807083 2776690 14
0.10 9.94 181.824107 2776950 14
0.10 6.42 181.841262 2777212 14
0.10 5.10 181.875506 2777735 14
0.10 13.11 181.909357 2778252 9
0.10 8.19 181.909685 2778257 9
0.10 6.71 181.92625 2778510 9
0.10 5.69 181.92972 2778563 4
0.10 10.59 181.943339 2778771 14
0.10 6.73 182.010387 2779795 14
0.10 10.18 182.04378 2780305 14
0.10 7.34 182.077107 2780814 14
0.10 8.31 182.093738 2781068 14
0.10 10.27 182.126673 2781571 6
0.10 7.89 182.143238 2781824 9
0.10 8.76 182.176435 2782331 14
0.10 5.21 182.193327 2782589 9
0.10 6.95 182.209238 2782832 4
0.10 6.40 182.225542 2783081 14
0.10 5.28 182.241976 2783332 14
0.10 8.23 182.274583 2783830 14
0.10 5.27 182.291345 2784086 4
0.10 10.01 182.307256 2784329 9
0.10 5.03 182.307583 2784334 9
0.10 9.50 182.323494 2784577 14
0.10 5.93 182.339405 2784820 3
0.10 10.10 182.372143 2785320 14
0.10 11.28 182.404357 2785812 14
0.10 7.04 182.404881 2785820 14
0.10 8.36 182.420661 2786061 14
0.10 8.40 182.436702 2786306 14
0.10 5.62 182.437226 2786314 14
0.10 7.26 182.468851 2786797 14
0.10 7.94 182.484827 2787041 20
0.10 10.76 182.500738 2787284 14
0.10 5.08 182.52994 2787730 30
0.10 8.18 182.548732 2788017 6
0.10 6.90 182.612113 2788985 14
0.10 5.08 182.628089 2789229 6
0.10 5.38 182.643607 2789466 4
0.10 5.00 182.675494 2789953 1
0.10 8.83 182.722113 2790665 6
0.10 5.45 182.737435 2790899 14
0.10 5.88 182.784446 2791617 6
0.10 5.84 182.800292 2791859 3
0.10 5.27 182.815875 2792097 2
0.10 5.64 182.847304 2792577 14
0.10 5.12 182.910161 2793537 9
0.10 5.09 182.92581 2793776 6
0.10 6.75 183.11353 2796643 9
0.10 6.29 183.300464 2799498 3
0.10 5.38 183.470833 2802100 14
0.10 5.34 183.517714 2802816 9
0.10 6.19 183.564923 2803537 2
0.10 8.23 183.580244 2803771 6
0.10 6.62 183.674464 2805210 6
0.10 5.25 183.813536 2807334 100
0.10 5.15 183.859565 2808037 100
0.10 5.57 183.907101 2808763 100
0.10 5.21 183.942851 2809309 4
0.10 6.50 183.953982 2809479 150
0.10 7.68 183.998179 2810154 45
0.10 5.02 183.999685 2810177 45
0.10 6.02 184.048268 2810919 30
0.10 5.54 184.054357 2811012 9
0.10 6.60 184.070726 2811262 4
0.10 5.96 184.093185 2811605 70
0.10 8.65 184.103006 2811755 3
0.10 5.53 184.135155 2812246 4
0.10 9.20 184.151393 2812494 9
0.10 6.15 184.191464 2813106 100
0.10 5.74 184.246006 2813939 100
0.10 7.11 184.295637 2814697 70
0.10 7.43 184.348411 2815503 100
0.10 6.58 184.399679 2816286 100
0.10 5.59 184.432679 2816790 2
0.10 5.60 184.499006 2817803 45
0.10 8.26 184.54903 2818567 150
0.10 6.49 184.734589 2821401 45
0.10 5.43 184.764905 2821864 3
0.10 8.13 184.7835 2822148 30
0.10 8.22 184.836863 2822963 3
0.10 6.78 184.872744 2823511 9
0.10 11.20 184.928137 2824357 6
0.10 6.02 184.965327 2824925 1
0.10 7.17 185.002583 2825494 6
0.10 7.03 185.05922 2826359 3
0.10 9.50 185.078077 2826647 6
0.10 10.48 185.097065 2826937 9
