DM Sigma Time Sample Downfact
0.00 5.23 0.055851 853 1
0.00 11.37 0.058339 891 9
0.00 7.66 0.08872 1355 9
0.00 6.93 0.149548 2284 14
0.00 10.19 0.179732 2745 9
0.00 9.33 0.209982 3207 14
0.00 8.06 0.240167 3668 14
0.00 9.61 0.27022 4127 9
0.00 7.31 0.300208 4585 9
0.00 5.10 0.328494 5017 1
0.00 7.29 0.330327 5045 6
0.00 9.71 0.391155 5974 14
0.00 6.51 0.391679 5982 14
0.00 10.21 0.421339 6435 6
0.00 5.19 0.458988 7010 1
0.00 9.55 0.482036 7362 14
0.00 9.90 0.54247 8285 6
0.00 8.63 0.57272 8747 6
0.00 8.49 0.602643 9204 6
0.00 5.55 0.723381 11048 9
0.00 7.66 0.783946 11973 14
0.00 6.58 0.844381 12896 14
0.00 5.71 0.898399 13721 100
0.00 5.39 0.904619 13816 14
0.00 10.63 0.934411 14271 9
0.00 6.57 0.934738 14276 9
0.00 6.18 0.943381 14408 70
0.00 7.02 0.964661 14733 4
0.00 7.29 0.992619 15160 100
0.00 10.25 1.054756 16109 14
0.00 5.47 1.085006 16571 14
0.00 10.66 1.11519 17032 14
0.00 8.26 1.145244 17491 9
0.00 5.47 1.145571 17496 9
0.00 6.67 1.206071 18420 2
0.00 5.89 1.236714 18888 14
0.00 10.46 1.297738 19820 14
0.00 5.62 1.335714 20400 70
0.00 6.70 1.358958 20755 30
0.00 8.23 1.389405 21220 30
0.00 8.70 1.419196 21675 14
0.00 7.39 1.449119 22132 4
0.00 10.85 1.479631 22598 14
0.00 5.70 1.480155 22606 14
0.00 7.33 1.493054 22803 100
0.00 8.73 1.509554 23055 14
0.00 7.45 1.539869 23518 9
0.00 5.39 1.546024 23612 45
0.00 8.80 1.57025 23982 14
0.00 7.72 1.591333 24304 100
0.00 5.01 1.594673 24355 100
0.00 6.22 1.600238 24440 4
0.00 11.70 1.630815 24907 14
0.00 12.70 1.661327 25373 20
0.00 9.76 1.691905 25840 14
0.00 8.33 1.722089 26301 9
0.00 5.15 1.722417 26306 9
0.00 6.56 1.73119 26440 100
0.00 9.95 1.780494 27193 100
0.00 6.43 1.827179 27906 100
0.00 6.12 1.84669 28204 100
0.00 5.47 1.874125 28623 14
0.00 5.78 1.90431 29084 14
0.00 8.53 1.934756 29549 9
0.00 7.74 1.994929 30468 20
0.00 11.85 2.025637 30937 14
0.00 5.76 2.055494 31393 4
0.00 11.01 2.116583 32326 14
0.00 6.42 2.117107 32334 14
0.00 5.95 2.176821 33246 9
0.00 10.93 2.207071 33708 14
0.00 9.21 2.237518 34173 9
0.00 10.01 2.26744 34630 9
0.00 6.61 2.267768 34635 9
0.00 6.13 2.297952 35096 6
0.00 11.65 2.328792 35567 9
0.00 8.15 2.359696 36039 6
0.00 5.48 2.390536 36510 3
0.00 10.92 2.42144 36982 9
0.00 5.90 2.421768 36987 9
0.00 8.62 2.45228 37453 9
0.00 5.23 2.452607 37458 6
0.00 9.39 2.513827 38393 6
0.00 6.40 2.544536 38862 20
0.00 13.58 2.575179 39330 14
0.00 10.20 2.605625 39795 14
0.00 8.62 2.635613 40253 9
0.00 6.65 2.666321 40722 14
0.00 8.95 2.696899 41189 14
0.00 6.40 2.727476 41656 14
0.00 9.36 2.757923 42121 14
0.00 10.29 2.788565 42589 9
0.00 7.89 2.818946 43053 14
0.00 5.07 2.879119 43972 6
0.00 6.17 2.909369 44434 9
0.00 9.56 2.939619 44896 20
0.00 7.04 2.969804 45357 9
0.00 6.84 3.000119 45820 9
0.00 5.78 3.030238 46280 9
0.00 11.75 3.121315 47671 14
0.00 11.22 3.151304 48129 9
0.00 6.19 3.151631 48134 9
0.00 6.99 3.181357 48588 4
0.00 12.43 3.211673 49051 14
0.00 11.34 3.271452 49964 6
0.00 7.07 3.271714 49968 6
0.00 13.02 3.301768 50427 9
0.00 9.34 3.331821 50886 9
0.00 7.64 3.362137 51349 14
0.00 7.40 3.39206 51806 6
0.00 6.08 3.45256 52730 3
0.00 7.26 3.482875 53193 6
0.00 11.41 3.512929 53652 9
0.00 6.37 3.513256 53657 9
0.00 9.03 3.543113 54113 14
0.00 6.56 3.573429 54576 9
0.00 6.30 3.603482 55035 14
0.00 10.60 3.633863 55499 14
0.00 10.81 3.663982 55959 14
0.00 5.04 3.690958 56371 1
0.00 7.44 3.694167 56420 9
0.00 10.54 3.724548 56884 14
0.00 7.98 3.754929 57348 14
0.00 5.19 3.815232 58269 14
0.00 15.16 3.845482 58731 14
0.00 8.54 3.875339 59187 9
0.00 11.71 3.905589 59649 14
0.00 5.74 3.935446 60105 9
0.00 7.58 3.965435 60563 4
0.00 8.82 3.995619 61024 6
0.00 11.97 4.025804 61485 14
0.00 7.59 4.055661 61941 9
0.00 9.20 4.116095 62864 14
0.00 13.49 4.176595 63788 14
0.00 12.10 4.206976 64252 14
0.00 5.76 4.237161 64713 9
0.00 7.54 4.267738 65180 14
0.00 9.72 4.298512 65650 14
0.00 6.79 4.299036 65658 14
0.00 11.74 4.3285 66108 9
0.00 11.56 4.389655 67042 14
